Time,Defect,Avg_Energy,eta_dot_field,eta,b_field,Distance,Coerr
0.0,10.0,-3.12125817804598,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",0.0,1.0
20.0,10.0,-3.12302674911857,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",1.0,0.7742616529669227
40.0,8.0,-3.1211761459327905,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",2.0,0.6315190039984077
60.0,8.0,-3.121916512141975,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",3.0,0.49689152828346067
80.0,8.0,-3.121255749928439,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",4.0,0.37670328598451575
100.0,8.0,-3.1207566445721864,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",5.0,0.2655772787211519
120.0,8.0,-3.1210937820657083,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",6.0,0.18245850070611913
140.0,8.0,-3.120376973220955,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",7.0,0.12877274545897718
160.0,8.0,-3.120047210241347,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.0010757504351168398, -0.01235714835139053], [-0.004455229490052924, 0.006048646145336836]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",8.0,0.11526268699381122
180.0,10.0,-3.1206395017922244,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",9.0,0.10025503332755208
200.0,10.0,-3.1220415522887883,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
220.0,10.0,-3.122762088993235,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
240.0,10.0,-3.1250010113018916,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
260.0,10.0,-3.124762728432149,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
280.0,10.0,-3.123643914637762,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
300.0,10.0,-3.1253163033849978,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
320.0,8.0,-3.12388672259244,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
340.0,8.0,-3.126682122398786,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
360.0,8.0,-3.1255073057627385,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
380.0,8.0,-3.121276653276392,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
